630596; 25225
630597; 20917
630598; 9374
630599; 35938
630600; 22370
630601; 1112
630602; 16204
630603; 43439
630604; 9650
630605; 7415
630606; 58985
630607; 8669
630608; 9555
630609; 5324
630610; 152932
630611; 65813
630612; 51185
630613; 24849
630614; 28996
630615; 12755
630616; 68737
630617; 51038
630618; 21368
630619; 22304
630620; 33555
630621; 9609
630622; 44134
630623; 4078
630624; 17074
630625; 6618
630626; 32950
630627; 195983
630628; 35389
630629; 13498
630630; 27668
630631; 33212
630632; 16461
630633; 5676
630634; 3293
630635; 10331
630636; 29491
630637; 58403
630638; 12643
630639; 15307
630640; 3325
630641; 23685
630642; 28103
630643; 2403
630644; 3293
630645; 4503
630646; 98928
630647; 16831
630648; 42607
630649; 26174
630650; 298
630651; 7653
630652; 54867
630653; 18540
630654; 2822
630655; 15778
630656; 48586
630657; 17366
630658; 33441
630659; 11754
630660; 9814
630661; 31210
630662; 2279
630663; 84008
630664; 12861
630665; 16965
630666; 10289
630667; 30304
630668; 19587
630669; 71511
630670; 75324
630671; 72827
630672; 41566
630673; 36129
630674; 18578
630675; 102017
630676; 154533
630677; 310023
630678; 375464
630679; 138437
630680; 355513
630681; 469886
630682; 635640
630683; 19277
630684; 873124
630685; 140789
630686; 472172
630687; 260976
630688; 64667
630689; 341910
630690; 141181
630691; 212820
630692; 1131820
630693; 613756
630694; 45463
630695; 69164
630696; 96718
630697; 556188
630698; 468300
630699; 239701
630700; 153410
630701; 1521450
630702; 126871
630703; 175317
630704; 17539
630705; 610874
630706; 311452
630707; 160785
630708; 16741
630709; 436215
630710; 90328
630711; 27231
630712; 174287
630713; 257568
630714; 140788
630715; 269272
630716; 90495
630717; 188487
630718; 273440
630719; 63125
630720; 39830
630721; 38771
630722; 12176
630723; 9884
630724; 48160
630725; 298
630726; 48286
630727; 39028
630728; 32780
630729; 32609
630730; 24850
630731; 83479
630732; 4265
630733; 15620
630734; 21123
630735; 117180
630736; 98515
630737; 15990
630738; 56790
630739; 102460
630740; 9394
630741; 6781
630742; 36438
630743; 16365
630744; 9749
630745; 11629
630746; 14945
630747; 52209
630748; 3199
630749; 18551
630750; 1330
630751; 17559
630752; 3092
630753; 6297
630754; 3402
630755; 1618
630756; 8810
630757; 4295
630758; 78667
630759; 7690
630760; 27301
630761; 2376
630762; 10078
630763; 32480
630764; 78622
630765; 2041
630766; 2523
630767; 44884
630768; 7299
630769; 34547
630770; 18372
630771; 62925
630772; 42345
630773; 70730
630774; 34832
630775; 3371
630776; 6066
630777; 58132
630778; 46819
630779; 43517
630780; 40241
630781; 15938
630782; 7848
630783; 30290
630784; 4954
630785; 100105
630786; 29064
630787; 15570
630788; 21557
630789; 10570
630790; 13290
630791; 17827
630792; 14658
630793; 16032
630794; 2275
630795; 33281
630796; 14525
630797; 22276
630798; 4008
630799; 797
630800; 17198
630801; 14230
630802; 48200
630803; 70814
630804; 34363
630805; 1016
630806; 67110
630807; 127234
630808; 1982
630809; 8776
630810; 284120
630811; 36820
630812; 21587
630813; 3214
630814; 63910
630815; 45416
630816; 33156
630817; 30182
630818; 27629
630819; 11966
630820; 3684
630821; 270349
630822; 43645
630823; 32938
630824; 88508
630825; 29701
630826; 116459
630827; 61520
630828; 66573
630829; 16856
630830; 66270
630831; 212248
630832; 421610
630833; 1071121
630834; 593665
630835; 240873
630836; 486984
630837; 7763
630838; 65368
630839; 210644
630840; 88624
630841; 47184
630842; 11047
